"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"ec_vat_withhold_50","RETENCIONES DE IVA 50%","2114010304","account.data_account_type_current_liabilities","l10n_ec_ja_ifrs","False"
"ec_vat_withhold_70","RETENCIONES DE IVA 70%","2114010305","account.data_account_type_current_liabilities","l10n_ec_ja_ifrs","False"
"ec_vat_withhold_100","RETENCIONES DE IVA 100%","2114010306","account.data_account_type_current_liabilities","l10n_ec_ja_ifrs","False"
"ec_vat_withhold_others","OTRAS RETENCIONES","2114010307","account.data_account_type_current_liabilities","l10n_ec_ja_ifrs","False"
"ec2201","PASIVOS POR CONTRATOS DE ARRENDAMIENTO FINANCIERO","2201","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220201","CUENTAS Y DOCUMENTOS POR PAGAR LOCALES","220201","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220202","CUENTAS Y DOCUMENTOS POR PAGAR DEL EXTERIOR","220202","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220301","OBLIGACIONES CON INSTITUCIONES FINANCIERAS LOCALES","220301","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220302","OBLIGACIONES CON INSTITUCIONES FINANCIERAS DEL EXTERIOR","220302","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220401","CUENTAS POR PAGAR DIVERSAS/RELACIONADAS LOCALES","220401","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220402","CUENTAS POR PAGAR DIVERSAS/RELACIONADAS DEL EXTERIOR","220402","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec2205","OBLIGACIONES EMITIDAS","2205","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec2206","ANTICIPOS DE CLIENTES","2206","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220701","OTROS BENEFICIOS NO CORRIENTES PARA LOS EMPLEADOS","220701","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec2208","OTRAS PROVISIONES","2208","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220901","INGRESOS DIFERIDOS","220901","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec220902","PASIVOS POR IMPUESTOS DIFERIDOS","220902","account.data_account_type_payable","l10n_ec_ja_ifrs","True"
"ec2210","OTROS PASIVOS NO CORRIENTES","2210","account.data_account_type_non_current_liabilities","l10n_ec_ja_ifrs","False"
"ec3101","CAPITAL SUSCRITO o ASIGNADO","3101","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3102","CAPITAL SUSCRITO NO PAGADO, ACCIONES EN TESORERIA","3102","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec32","APORTES DE SOCIOS O ACCIONISTAS PARA FUTURA CAPITALIZACION","32","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec33","PRIMA POR EMISION PRIMARIA DE ACCIONES","33","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3401","RESERVA LEGAL","3401","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
